cell_id,x,y,cell_type,C_state,I_state,joint_id
1,847.2599,326.19138,DCIS_2,5,2,43
2,826.342,328.03183,DCIS_2,5,2,43
3,848.7669,331.7432,Unlabeled,5,2,43
4,824.2284,334.25266,Invasive_Tumor,5,2,43
5,841.35754,332.2425,DCIS_2,5,2,43
6,848.0222,336.57394,Unlabeled,7,2,59
7,835.2846,338.13568,Unlabeled,5,1,42
8,828.72626,341.71234,DCIS_2,5,1,42
9,847.6031,344.51147,Macrophages_1,7,2,59
10,838.7647,345.3068,Macrophages_1,7,2,59
11,839.68427,351.17786,Macrophages_1,7,2,59
12,836.1887,358.5048,Unlabeled,5,1,42
13,845.6137,356.92477,DCIS_2,7,2,59
14,848.88336,366.05417,DCIS_2,5,2,43
15,832.43335,363.20383,DCIS_2,5,1,42
16,822.4167,371.74835,Macrophages_1,5,1,42
17,833.04596,371.0322,DCIS_2,5,2,43
18,849.2151,373.96,DCIS_2,5,2,43
19,841.712,376.10266,Invasive_Tumor,5,2,43
20,832.79504,379.91003,Invasive_Tumor,5,2,43
21,842.0598,384.01035,DCIS_2,5,2,43
22,835.6815,384.94348,Invasive_Tumor,1,2,11
23,825.28284,411.02087,Invasive_Tumor,7,1,58
24,831.991,414.52222,DCIS_2,7,1,58
25,840.8486,415.70758,Unlabeled,7,1,58
26,824.8814,418.10855,Stromal,7,1,58
27,841.1359,423.04575,DCIS_2,7,1,58
28,829.19635,425.28772,DCIS_2,5,1,42
29,827.0109,432.35446,DCIS_2,5,1,42
30,844.83655,433.98584,DCIS_2,5,1,42
31,834.9296,448.5944,DCIS_2,7,4,61
32,825.53784,448.82385,Macrophages_1,7,1,58
33,821.60895,458.56866,Unlabeled,7,1,58
34,830.96576,459.34424,Unlabeled,7,2,59
35,835.46027,461.15118,Invasive_Tumor,7,2,59
36,842.5295,456.8865,Unlabeled,7,4,61
37,827.2794,463.3113,DCIS_1,7,2,59
38,826.52,468.62216,Unlabeled,7,2,59
39,818.8288,471.2026,Unlabeled,7,2,59
40,831.1727,469.4746,Unlabeled,7,4,61
41,828.48517,475.05417,Invasive_Tumor,7,2,59
42,838.38696,475.85913,Unlabeled,7,4,61
43,845.9575,471.45392,Myoepi_ACTA2+,7,4,61
44,829.8081,480.94287,DCIS_2,7,4,61
45,845.45874,484.54572,Invasive_Tumor,7,2,59
46,837.56354,484.4141,Unlabeled,7,2,59
47,825.5777,486.4755,Macrophages_1,7,2,59
48,827.1293,387.98965,Invasive_Tumor,1,2,11
49,850.16296,383.84695,DCIS_2,1,2,11
50,843.3348,395.2332,Unlabeled,7,2,59
51,841.42786,389.97,Unlabeled,5,2,43
52,827.7148,398.79935,Invasive_Tumor,7,2,59
53,827.46045,393.41647,DCIS_2,7,2,59
54,839.6262,395.2204,Unlabeled,7,2,59
55,835.57446,395.4244,Unlabeled,7,2,59
56,837.39435,401.5515,Macrophages_1,7,1,58
57,848.9232,399.35556,DCIS_2,7,2,59
58,835.1441,389.69177,Unlabeled,1,2,11
59,833.55817,423.41602,DCIS_1,7,1,58
60,837.42896,417.69818,Unlabeled,7,1,58
61,823.6402,404.95825,Invasive_Tumor,7,2,59
62,834.54913,408.63544,Unlabeled,7,1,58
63,832.31866,404.43994,Unlabeled,7,1,58
64,837.64136,410.73593,Unlabeled,7,1,58
65,847.08453,411.61572,DCIS_2,7,1,58
66,824.0363,351.4916,Invasive_Tumor,5,1,42
67,817.45856,6.0999594,CD8+_T_Cells,2,2,19
68,828.99713,148.56128,Invasive_Tumor,5,2,43
69,849.88464,311.8712,DCIS_2,5,2,43
70,806.5244,15.48779,Myoepi_ACTA2+,5,2,43
71,821.9302,22.881351,Myoepi_ACTA2+,5,2,43
72,810.0349,25.008612,Myoepi_ACTA2+,5,2,43
73,829.1072,12.344772,Endothelial,5,2,43
74,842.84076,16.541096,Stromal,5,6,47
75,830.0969,28.916225,DCIS_2,5,2,43
76,846.121,28.978514,Myoepi_ACTA2+,5,6,47
77,822.2588,43.172916,DCIS_2,5,2,43
78,837.3119,39.855797,DCIS_2,5,0,41
79,846.15936,42.82286,Invasive_Tumor,5,0,41
80,840.01526,50.15382,Invasive_Tumor,5,0,41
81,851.683,45.74233,DCIS_2,5,0,41
82,828.28,47.33535,Invasive_Tumor,5,2,43
83,832.5412,52.425877,Invasive_Tumor,5,0,41
84,854.3125,56.020752,DCIS_2,5,0,41
85,828.9438,58.010223,DCIS_2,5,2,43
86,840.6975,59.013794,DCIS_2,5,0,41
87,821.90204,63.975925,DCIS_2,1,2,11
88,847.2346,61.48222,DCIS_2,5,0,41
89,829.2202,64.1637,Invasive_Tumor,1,2,11
90,834.78613,67.72121,Invasive_Tumor,5,2,43
91,825.2774,74.748184,Invasive_Tumor,1,2,11
92,848.99036,74.894394,DCIS_2,5,2,43
93,839.6924,74.21567,DCIS_2,5,2,43
94,832.48395,77.743805,DCIS_2,1,2,11
95,840.8723,83.20778,DCIS_2,1,2,11
96,821.101,208.71928,DCIS_2,5,2,43
97,841.7606,90.882164,Invasive_Tumor,1,2,11
98,849.8905,91.4466,Invasive_Tumor,1,2,11
99,831.32983,100.587944,Invasive_Tumor,5,2,43
100,844.0838,99.37484,Invasive_Tumor,1,2,11
101,838.8009,105.428444,DCIS_2,1,2,11
102,849.9518,101.65537,Invasive_Tumor,1,2,11
103,825.26886,104.58753,DCIS_2,5,2,43
104,831.09314,113.56213,Invasive_Tumor,5,2,43
105,823.6879,115.121445,DCIS_2,5,2,43
106,833.9968,316.52737,DCIS_2,5,2,43
107,846.7792,114.9495,DCIS_2,1,2,11
108,837.45886,127.008675,DCIS_2,5,2,43
109,829.5266,123.456985,DCIS_2,5,2,43
110,852.5543,126.479965,Invasive_Tumor,1,2,11
111,844.75,125.28675,DCIS_2,5,2,43
112,845.358,135.01028,DCIS_2,5,2,43
113,842.82697,319.32596,DCIS_2,5,2,43
114,833.2651,134.4148,DCIS_2,5,2,43
115,825.81433,137.75221,Invasive_Tumor,5,2,43
116,841.09863,142.59158,Invasive_Tumor,5,2,43
117,820.2519,316.20706,DCIS_2,5,2,43
118,845.8263,148.95102,Invasive_Tumor,5,2,43
119,837.1014,152.30315,DCIS_2,5,2,43
120,851.70325,155.00432,Invasive_Tumor,5,1,42
121,835.4951,159.57065,Invasive_Tumor,5,2,43
122,830.80756,168.6845,Invasive_Tumor,5,2,43
123,848.51373,169.99486,DCIS_2,5,2,43
124,818.69934,159.60843,DCIS_2,5,2,43
125,842.3966,168.12166,Invasive_Tumor,5,2,43
126,820.85333,181.85811,DCIS_2,5,2,43
127,835.45654,174.95757,Invasive_Tumor,5,2,43
128,833.81433,186.85794,DCIS_2,5,2,43
129,836.6563,181.65129,DCIS_2,5,2,43
130,827.41766,192.41284,DCIS_2,5,2,43
131,847.3409,182.46478,DCIS_2,5,2,43
132,838.0212,191.24295,Invasive_Tumor,5,2,43
133,845.87775,196.65251,Invasive_Tumor,5,2,43
134,827.99634,203.0538,DCIS_2,5,2,43
135,841.1622,210.26083,Invasive_Tumor,5,2,43
136,847.14935,218.17361,Myoepi_ACTA2+,5,2,43
137,820.21643,217.26683,Myoepi_ACTA2+,5,2,43
138,836.5505,219.43741,DCIS_2,5,2,43
139,827.5621,222.31583,Myoepi_ACTA2+,5,2,43
140,839.2086,229.25134,DCIS_2,5,2,43
141,828.57825,232.41347,DCIS_2,5,2,43
